,,,,,,שם לקוח,אימייל,איש קשר,טלפון,יתרה,תאריך עדכון,עמודה 1,עמודה 3,עמודה 2
,,,,,,מרכז סיור ולימוד גליל,misrad2.mgm@gmail.com,דוד,523674191,-18762,28.5.2026,1723,,
,,,,,,תיכון תמר אריאל נתניה,,שומרון כץ,544630838,-15237,31.5.2026,,,
,,,,,,קו האופק, hr-office@cavhaofek.co.il ,אדוה,526203836,"-10,733.00",30.4.2026,1593 מתאריך 30.4.26,,
,,,,,,אגד הסעים תיור ונופש ,Noamcohe@egged.co.il,נועם,504469667,-8511,25.5.2026,,,
,,,,,,סמינר שושנים,noritc@kidum-edu.org.il,אפריים זכריה,508760759,-8198,28.5.2026,,,
,,,,,,יהב ,,יהב,533210777,-7466,1.1.2026,הלוואה,,
,,,,,,או יו ישראל (קייטנת לגסי),,יוחאי,526399904,-7186,14.7.2026,,,
,,,,,,בית ספר למלאכה קרית מלאכי ,,יוסי שץ,586770914,-6372,28.6.2026,,,
,,,,,,אורות הגליל,,"זהבית , אודל","0526070680,2-0587677148",-5900,14.5.26,,,
,,,,,,בוץ הרפתקאות,acc2@botz-adventures.co.il ,מור,524814584,-5754,24.5.2026,5725 מתאריך 14.6.2026,,
,,,,,,מרכז סיור גלבוע מעינות,office@gilma.co.il,,527466514,-5239,18.5.2026,,,
,,,,,,קורס רות,,,,-5225,8.7.2026,,,
,,,,,,טללים חוויות חינוכיות,HeshbonitYozmot@tlalimgroup.com,דפנה,545635364,-4531,24.5.2026,1168 מתאריך 14.6,,
,,,,,,ישיבת חיצים,dvir@chitzim.co.il,דביר,532838881,-4407,18.5.2026,,,
,,,,,,שניר אבטחה ורפואה,collecting@snr.org.il,שניר,"509395454,2-0529397073",-4114,31.5.2026,,,649 מה 26/11
,,,,,,ערך הדרך,,ישראל,546439799,-2991.3,2.7.2026,,,
,,,,,,עירוני ב חיפה,,יוחאי קדוש,506974266,-2263,2.6.2026,,,
,,,,,,מועצה מקומית קריית ארבע,,נריה,549772652,-2204,20.5.2026,,,
,,,,,,קדמה התיישבות,tzuf@kedma-hityashvut.org,בת דרור,526924822,-2006,21.6.026,,,
,,,,,,ישיבת אביר יעקב נהריה,,אוריה גרידיש,506573976,-1888,21.6.2026,,,
,,,,,,בית העם,,limors@akko.matnasim.co.il,524616520,-1843,21.4.2026,שוטף 75,,
,,,,,,יחידה במשגב,Info@y-misgav.co.il,שגיא,523783951,-1637,8.7.2026,,,
,,,,,,מתיישבי חנתון, hinuh.hanaton@gmail.com,נירית,524373707,-1475,9.7.2026,,,
,,,,,,תנועת עזרא,,אריאל יהודה,512054665,-1470,25.6.2026,,,
,,,,,,אולפנת תל אביב ,,נועה,552780842,-1218,8.6.2026,,,
,,,,,,יחיאל מייברג ,,,,-1200,9.7.2026,,,
